NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS							
110	CHEW	FOOD_AND_DRINK	321	CHEW							
111	CHICKEN	ANIMALS	1318	CHICKEN							
112	CHIGGOE (JIGGER FLEA)	ANIMALS	438	CHIGGOE (JIGGER FLEA)							
113	CHILD	KINSHIP	2099	CHILD							
114	CHIN	THE_BODY	1510	CHIN							
115	CHOKE	FOOD_AND_DRINK	129	CHOKE							
116	CHOP	BASIC_ACTIONS_AND_TECHNOLOGY	155	CHOP							
117	CICADA	ANIMALS	2353	CICADA							
118	CLOTHES	CLOTHING_AND_GROOMING	1895	CLOTHES							
119	CLOTHES	CLOTHING_AND_GROOMING	1895	CLOTHES							
120	CLOUD	THE_PHYSICAL_WORLD	1489	CLOUD							
121	COATI (COATIMUNDI)	ANIMALS	2389	COATI (COATIMUNDI)							
122	COCKROACH	ANIMALS	1575	COCKROACH							
123	COLD	SENSE_PERCEPTION	1287	COLD							
124	COLLARED PECCARY	ANIMALS	435	COLLARED PECCARY							
125	COMB	CLOTHING_AND_GROOMING	1475	COMB							
126	COME	MOTION	1446	COME							
127	COOK (SOMETHING)	FOOD_AND_DRINK	1100	COOK (SOMETHING)							
128	CORPSE	THE_BODY	767	CORPSE							
129	CORRECT (RIGHT)	EMOTIONS_AND_VALUES	1725	CORRECT (RIGHT)							
130	COTTON	CLOTHING_AND_GROOMING	1850	COTTON							
131	COUGAR										
132	COUGH	THE_BODY	879	COUGH							
133	CRAB	ANIMALS	2348	CRAB							
134	CRAWL	MOTION	96	CRAWL							
135	CRICKET	ANIMALS	2354	CRICKET							
136	CRITICIZE										
137	CROSS-COUSIN	KINSHIP	3162	CROSS-COUSIN							
138	CRY	EMOTIONS_AND_VALUES	1839	CRY							
139	CULTIVATED FIELD	THE_PHYSICAL_WORLD									
140	CURASSOW	ANIMALS	315	CURASSOW							
141	CUT	BASIC_ACTIONS_AND_TECHNOLOGY	1432	CUT							
142	DARK	THE_PHYSICAL_WORLD	706	DARK							
143	DART										
144	DAUGHTER	KINSHIP	1357	DAUGHTER							
145	DAY (NOT NIGHT)	TIME	1225	DAY (NOT NIGHT)							
146	DEEP	SPATIAL_RELATIONS	1593	DEEP							
147	DEER	ANIMALS	1936	DEER							
148	DIE	THE_BODY	1494	DIE							
149	DIFFERENT TYPE										
150	DIG	AGRICULTURE_AND_VEGETATION	1418	DIG							
151	DIP	BASIC_ACTIONS_AND_TECHNOLOGY	3697	DIP							
152	DIRTY	SENSE_PERCEPTION	1230	DIRTY							
153	DISAPPEAR	MOTION	485	DISAPPEAR							
154	DIVIDE	SPATIAL_RELATIONS	1119	DIVIDE							
155	DO OR MAKE	BASIC_ACTIONS_AND_TECHNOLOGY	2575	DO OR MAKE							
156	DOG	ANIMALS	2009	DOG							
157	DOOR	THE_HOUSE	1567	DOOR							
158	DOVE	ANIMALS	1853	DOVE							
159	DOWNSTREAM										
160	DRAG	BASIC_ACTIONS_AND_TECHNOLOGY	2030	DRAG							
161	DREAM	THE_BODY	2374	DREAM							
162	DRINK	FOOD_AND_DRINK	1401	DRINK							
163	DROWN	THE_BODY	1904	DROWN							
164	DRY	SENSE_PERCEPTION	1398	DRY							
165	DRY UP	BASIC_ACTIONS_AND_TECHNOLOGY	1786	DRY UP							
166	DULL	SENSE_PERCEPTION	1397	DULL							
167	DUST	THE_PHYSICAL_WORLD	2	DUST							
168	DWELL (LIVE, RESIDE)	THE_HOUSE	363	DWELL (LIVE, RESIDE)							
169	EAGLE OR HAWK	ANIMALS	2683	EAGLE OR HAWK							
170	EAR	THE_BODY	1247	EAR							
171	EARTH (SOIL)	THE_PHYSICAL_WORLD	1228	EARTH (SOIL)							
172	EARTHWORM	ANIMALS	2350	EARTHWORM							
173	EAT	FOOD_AND_DRINK	1336	EAT							
174	EDGE	SPATIAL_RELATIONS	863	EDGE							
175	EGG	FOOD_AND_DRINK	744	EGG							
176	ELBOW	THE_BODY	981	ELBOW							
177	ELECTRIC EEL	ANIMALS	2443	ELECTRIC EEL							
178	EMBAUBA (genus Cecropia)	AGRICULTURE_AND_VEGETATION	3931	EMBAUBA (genus Cecropia)							
179	EMERGE (APPEAR)	BASIC_ACTIONS_AND_TECHNOLOGY	1076	EMERGE (APPEAR)							
180	EXCHANGE	BASIC_ACTIONS_AND_TECHNOLOGY	2509	EXCHANGE							
181	EXIST										
182	EYE	THE_BODY	1248	EYE							
183	EYEBROW	THE_BODY	1173	EYEBROW							
184	FAECES (EXCREMENT)	THE_BODY	675	FAECES (EXCREMENT)							
185	FALL	MOTION	1280	FALL							
186	FAMILIAR SPIRIT										
187	FAN (OBJECT)	BASIC_ACTIONS_AND_TECHNOLOGY	1971	FAN (OBJECT)							
188	FAR	SPATIAL_RELATIONS	1406	FAR							
189	FAST	TIME	1631	FAST							
190	FASTEN	BASIC_ACTIONS_AND_TECHNOLOGY	1094	FASTEN							
191	FAT (OBESE)	SPATIAL_RELATIONS	1279	FAT (OBESE)							
192	FAT (ORGANIC SUBSTANCE)	THE_BODY	323	FAT (ORGANIC SUBSTANCE)							
193	FATHER	KINSHIP	1217	FATHER							
194	FEAR (BE AFRAID)	EMOTIONS_AND_VALUES	1419	FEAR (BE AFRAID)							
195	FEATHER	THE_BODY	1201	FEATHER							
196	FEEL HURT										
197	FIGHT	WARFARE_AND_HUNTING	1423	FIGHT							
198	FIND	POSSESSION	719	FIND							
199	FINGER	THE_BODY	1303	FINGER							
200	FINGERNAIL	THE_BODY	1258	FINGERNAIL							
201	FINISH	TIME	1766	FINISH							
202	FIRE	THE_PHYSICAL_WORLD	221	FIRE							
203	FIREFLY	ANIMALS	206	FIREFLY							
204	FIREWOOD	THE_PHYSICAL_WORLD	10	FIREWOOD							
205	FIRST	QUANTITY	728	FIRST							
206	FISH	ANIMALS	227	FISH							
207	FISHHOOK	WARFARE_AND_HUNTING	1074	FISHHOOK							
208	FIX	BASIC_ACTIONS_AND_TECHNOLOGY	3074	FIX							
209	FLAT	SPATIAL_RELATIONS	1633	FLAT							
210	FLESH OR MEAT	THE_BODY	2615	FLESH OR MEAT							
211	FLOUR	FOOD_AND_DRINK	1594	FLOUR							
212	FLOWER	AGRICULTURE_AND_VEGETATION	239	FLOWER							
213	FLU										
214	FLY	MOTION	1441	FLY (MOVE THROUGH AIR)							
215	FLY (INSECT)	ANIMALS	1504	FLY (INSECT)							
216	FOG	THE_PHYSICAL_WORLD	249	FOG							
217	FOLLOW	MOTION	1085	FOLLOW							
218	FOOD	FOOD_AND_DRINK	256	FOOD							
219	FOOT	THE_BODY	1301	FOOT							
220	FOREHEAD	THE_BODY	123	FOREHEAD							
221	FOREST	THE_PHYSICAL_WORLD	420	FOREST							
222	FORGET	COGNITION	1523	FORGET							
223	FRAGRANT	SENSE_PERCEPTION	376	FRAGRANT							
224	FRIEND	SOCIAL_AND_POLITICAL_RELATIONS	1325	FRIEND							
225	FROG	ANIMALS	503	FROG							
226	FRUIT	FOOD_AND_DRINK	1507	FRUIT							
227	FRUIT TREE	AGRICULTURE_AND_VEGETATION									
228	FRUIT VINE	AGRICULTURE_AND_VEGETATION									
229	FULL	QUANTITY	1429	FULL							
230	GAME (ANIMAL)										
231	GARDEN	AGRICULTURE_AND_VEGETATION	586	GARDEN							
232	GENIPA	AGRICULTURE_AND_VEGETATION	3920	GENIPA							
233	GET UP EARLY										
234	GIANT RIVER OTTER	ANIMALS	1262	BROTHER							
235	GIRL	KINSHIP	1646	GIRL							
236	GIVE	POSSESSION	1447	GIVE							
237	GO	MOTION	695	GO							
238	GO AHEAD										
239	GO INTO WATER										
240	GOOD	EMOTIONS_AND_VALUES	1035	GOOD							
241	GOURD	AGRICULTURE_AND_VEGETATION	411	GOURD							
242	GRANDCHILD	KINSHIP	1617	GRANDCHILD							
243	GRANDFATHER	KINSHIP	1383	GRANDFATHER							
244	GRANDMOTHER	KINSHIP	1496	GRANDMOTHER							
245	GRASS	AGRICULTURE_AND_VEGETATION	606	GRASS							
246	GRASSHOPPER	ANIMALS	607	GRASSHOPPER							
