NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS							
485	ROAST OR FRY	FOOD_AND_DRINK	2146	ROAST OR FRY							
486	ROLL	MOTION	827	ROLL							
487	ROOSTER	ANIMALS	1511	ROOSTER							
488	ROOT	AGRICULTURE_AND_VEGETATION	670	ROOT							
489	ROPE	BASIC_ACTIONS_AND_TECHNOLOGY	1218	ROPE							
490	ROSE-COLORED BANANA										
491	ROTTEN	FOOD_AND_DRINK	1728	ROTTEN							
492	ROUND	SPATIAL_RELATIONS	1395	ROUND							
493	RUB	BASIC_ACTIONS_AND_TECHNOLOGY	1449	RUB							
494	RUBBER TREE	AGRICULTURE_AND_VEGETATION									
495	RUN	MOTION	1519	RUN							
496	SAD	EMOTIONS_AND_VALUES	699	SAD							
497	SAKI MONKEY										
498	SALT	FOOD_AND_DRINK	1274	SALT							
499	SAND	THE_PHYSICAL_WORLD	671	SAND							
500	SAP	AGRICULTURE_AND_VEGETATION	345	SAP							
501	SATIATED	FOOD_AND_DRINK	106	SATIATED							
502	SAY	SPEECH_AND_LANGUAGE	1458	SAY							
503	SCARED	EMOTIONS_AND_VALUES	3033	SCARED							
504	SCORPION	ANIMALS	1538	SCORPION							
505	SCRAPE	BASIC_ACTIONS_AND_TECHNOLOGY	1767	SCRAPE							
506	SCRATCH	THE_BODY	1436	SCRATCH							
507	SCROTUM	THE_BODY	2834	SCROTUM							
508	SEA	THE_PHYSICAL_WORLD	1474	SEA							
509	SEAGULL	ANIMALS	950	SEAGULL							
510	SEARCH FOR										
511	SEAT										
512	SEE	SENSE_PERCEPTION	1409	SEE							
513	SEED	AGRICULTURE_AND_VEGETATION	714	SEED							
514	SEPARATE	SPATIAL_RELATIONS	1359	SEPARATE							
515	SEW	CLOTHING_AND_GROOMING	1457	SEW							
516	SHAKE	MOTION	1909	SHAKE							
517	SHAMAN (FOLK HEALER)	RELIGION_AND_BELIEF	394	SHAMAN (FOLK HEALER)							
518	SHARP	SENSE_PERCEPTION	1396	SHARP							
519	SHARPEN (SOMETHING)	BASIC_ACTIONS_AND_TECHNOLOGY	251	SHARPEN (SOMETHING)							
520	SHELL	ANIMALS	598	SHELL							
521	SHELLFISH	ANIMALS									
522	SHINY										
523	SHIT (DEFECATE)	THE_BODY	676	SHIT (DEFECATE)							
524	SHORT	SPATIAL_RELATIONS	1645	SHORT							
525	SHOW	SENSE_PERCEPTION	1039	SHOW							
526	SHRIMP	ANIMALS	2349	SHRIMP							
527	SICK	THE_BODY	1847	SICK							
528	SIDE OF FOREST										
529	SIEVE OR STRAIN	FOOD_AND_DRINK	3448	SIEVE OR STRAIN							
530	SING	SPEECH_AND_LANGUAGE	1261	SING							
531	SINGING CATFISH										
532	SISTER	KINSHIP	1263	SISTER							
533	SIT	SPATIAL_RELATIONS	1416	SIT							
534	SKIN	THE_BODY	763	SKIN							
535	SKIN(V)		291	PULL OFF (SKIN)							
536	SKY	THE_PHYSICAL_WORLD	1732	SKY							
537	SLEEP	THE_BODY	1585	SLEEP							
538	SLOTH	ANIMALS	2446	SLOTH							
539	SMALL	SPATIAL_RELATIONS	1246	SMALL							
540	SMALL ANT WITH PAINFUL BITE	ANIMALS									
541	SMALL BASKET										
542	SMALL BIRD (SPECIES)	ANIMALS									
543	SMALL TOAD (SPECIES)	ANIMALS									
544	SMALL TURTLE	ANIMALS									
545	SMELL	SENSE_PERCEPTION	2124	SMELL							
546	SMILE	EMOTIONS_AND_VALUES	1451	SMILE							
547	SMOKE (EXHAUST)	THE_PHYSICAL_WORLD	778	SMOKE (EXHAUST)							
548	SMOOTH	SENSE_PERCEPTION	1234	SMOOTH							
549	SNAIL	ANIMALS	1543	SNAIL							
550	SNAKE	ANIMALS	730	SNAKE							
551	SNEEZE	THE_BODY	1621	SNEEZE							
552	SOCIOZINHO HERON	ANIMALS									
553	SOCÓ HERON	ANIMALS									
554	SOFT MATERIAL INSIDE SOMETHING										
555	SON	KINSHIP	1620	SON							
556	SONG	MODERN_WORLD	1096	SONG							
557	SORVA TREE (COUMA SP)										
558	SOUND OR NOISE	SENSE_PERCEPTION	1811	SOUND OR NOISE							
559	SOUR	SENSE_PERCEPTION	1906	SOUR							
560	SPEAK	SPEECH_AND_LANGUAGE	1623	SPEAK							
561	SPEAR	WARFARE_AND_HUNTING	945	SPEAR							
562	SPIDER	ANIMALS	843	SPIDER							
563	SPIDER MONKEY	ANIMALS	434	SPIDER MONKEY							
564	SPILL (SOMETHING)	MOTION	3130	SPILL (SOMETHING)							
565	SPIRIT	RELIGION_AND_BELIEF	53	SPIRIT							
566	SPIT	THE_BODY	1440	SPIT							
567	SPLIT	BASIC_ACTIONS_AND_TECHNOLOGY	1437	SPLIT							
568	SPOUSE	KINSHIP	2514	SPOUSE							
569	SPREAD OUT										
570	SQUEEZE	BASIC_ACTIONS_AND_TECHNOLOGY	1414	SQUEEZE							
571	SQUIRREL	ANIMALS	1628	SQUIRREL							
572	SQUIRREL MONKEY	ANIMALS									
573	STAND	SPATIAL_RELATIONS	1442	STAND							
574	STAR	THE_PHYSICAL_WORLD	1430	STAR							
575	STEAL	LAW	713	STEAL							
576	STICK	THE_PHYSICAL_WORLD	1295	STICK							
577	STING	THE_BODY	571	STING							
578	STINGRAY	ANIMALS	1910	STINGRAY							
579	STIR	FOOD_AND_DRINK	696	STIR							
580	STONE	THE_PHYSICAL_WORLD	857	STONE							
581	STORY	SPEECH_AND_LANGUAGE	2060	STORY							
582	STRAIGHTEN										
583	STRETCH OUT LEGS										
584	STRIKE OR BEAT	BASIC_ACTIONS_AND_TECHNOLOGY	2133	STRIKE OR BEAT							
585	STRONG	BODY	785	STRONG							
586	STRONG TASTE										
587	SUCK	FOOD_AND_DRINK	1421	SUCK							
588	SUN	THE_PHYSICAL_WORLD	1343	SUN							
589	SURFACE	THE_PHYSICAL_WORLD	547	SURFACE							
590	SWALLOW	FOOD_AND_DRINK	897	SWALLOW							
591	SWEAT	THE_BODY									
592	SWEAT (SUBSTANCE)	THE_BODY	125	SWEAT (SUBSTANCE)							
593	SWEET	SENSE_PERCEPTION	717	SWEET							
594	SWEET MANIOC	AGRICULTURE_AND_VEGETATION	925	CASSAVA							
595	SWEET POTATO	AGRICULTURE_AND_VEGETATION	159	SWEET POTATO							
596	SWELL	BASIC_ACTIONS_AND_TECHNOLOGY	1573	SWELL							
597	SWIM	MOTION	1439	SWIM							
598	TAIL	THE_BODY	1220	TAIL							
599	TAKE	POSSESSION	1749	TAKE							
600	TAPIOCA	FOOD_AND_DRINK	3940	TAPIOCA							
601	TAPIR	ANIMALS	312	TAPIR							
602	TASTE (SOMETHING)	SENSE_PERCEPTION	21	TASTE (SOMETHING)							
603	TASTY	FOOD_AND_DRINK	1813	TASTY							
604	TAYRA										
605	TEACH	COGNITION	709	TEACH							
606	TELL	SPEECH_AND_LANGUAGE	1711	TELL							
607	TERMITE	ANIMALS	883	TERMITE							
608	TERMITE NEST										
609	THAT	MISCELLANEOUS_FUNCTION_WORDS	78	THAT							
610	THERE	MISCELLANEOUS_FUNCTION_WORDS	1937	THERE							
611	THEY	KINSHIP	817	THEY							
612	THICK	SPATIAL_RELATIONS	1244	THICK							
613	THIN	SPATIAL_RELATIONS	2308	THIN							
614	THING	POSSESSION	738	THING							
615	THIRST	FOOD_AND_DRINK	848	THIRST							
616	THORN	AGRICULTURE_AND_VEGETATION	124	THORN							
617	THREATEN	SPEECH_AND_LANGUAGE	1192	THREATEN							
618	THREE	QUANTITY	492	THREE							
619	THREE	QUANTITY	492	THREE							
620	THREE-TOED SLOTH	ANIMALS									
621	THROAT	THE_BODY	1346	THROAT							
622	THROW	MOTION	1456	THROW							
623	THROW WATER										
624	THUNDER	THE_PHYSICAL_WORLD	1150	THUNDER							
625	TICK	ANIMALS	1527	TICK							
626	TIE	BASIC_ACTIONS_AND_TECHNOLOGY	1917	TIE							
627	TIMBO										
628	TINGUÍ										
629	TOAD	ANIMALS	894	TOAD							
630	TOAST										
631	TOBACCO	AGRICULTURE_AND_VEGETATION	974	TOBACCO							
632	TOMB										
633	TONGUE	THE_BODY	1205	TONGUE							
634	TONKA BEAN										
635	TOOTH	THE_BODY	1380	TOOTH							
636	TORTOISE	ANIMALS	895	TORTOISE							
637	TOUCAN	ANIMALS	308	TOUCAN							
638	TOUCH	SENSE_PERCEPTION	1892	TOUCH							
639	TREAD ON										
640	TREE	AGRICULTURE_AND_VEGETATION	906	TREE							
641	TREE SP. WITH SOFT WOOD										
642	TREE TRUNK	AGRICULTURE_AND_VEGETATION	344	TREE TRUNK							
643	TREE WITH RESIN										
644	TROGON										
645	TROWEL										
646	TUCUNARÉ										
647	TURN	MOTION	1588	TURN							
648	TURN OVER	BASIC_ACTIONS_AND_TECHNOLOGY	3537	TURN OVER							
649	TURTLE	ANIMALS	112	TURTLE							
650	TWIST	MOTION	430	TWIST							
651	TWO	QUANTITY	1498	TWO							
652	UNDERSIDE										
653	UNFASTEN										
654	UNTIE	BASIC_ACTIONS_AND_TECHNOLOGY	352	UNTIE							
655	UPPER LEG (THIGH)	THE_BODY	471	UPPER LEG (THIGH)							
656	UPPER PART OF										
657	UPSTREAM										
658	URINE	THE_BODY	1142	URINE							
659	URUCU (BIXA ORELLANA)										
660	URUCURI										
661	UTERUS										
662	VAGINA	THE_BODY	1836	VAGINA							
663	VEIN	THE_BODY	1924	VEIN							
664	VINE	AGRICULTURE_AND_VEGETATION	343	VINE							
665	VISIBLE	SENSE_PERCEPTION	1868	VISIBLE							
666	VOICE	SPEECH_AND_LANGUAGE	1363	VOICE							
667	VOMIT	THE_BODY	1278	VOMIT							
668	VULTURE	ANIMALS	1185	VULTURE							
669	WAIT (FOR)	MOTION	1590	WAIT (FOR)							
670	WALK	MOTION	1443	WALK							
671	WALK BENT OVER										
672	WANT	EMOTIONS_AND_VALUES	1784	WANT							
673	WARM	SENSE_PERCEPTION	1232	WARM							
674	WASH	BASIC_ACTIONS_AND_TECHNOLOGY	1453	WASH							
675	WASP	ANIMALS	1517	WASP							
676	WATER	THE_PHYSICAL_WORLD	948	WATER							
677	WAVE	THE_PHYSICAL_WORLD	978	WAVE							
678	WE	KINSHIP	1212	WE							
679	WE (EXCLUSIVE)	KINSHIP	1130	WE (EXCLUSIVE)							
680	WE (INCLUSIVE)	KINSHIP	1131	WE (INCLUSIVE)							
681	WEASEL	ANIMALS	3384	WEASEL							
682	WEAVE	CLOTHING_AND_GROOMING	133	WEAVE							
683	WET	SENSE_PERCEPTION	1726	WET							
684	WHIP	MODERN_WORLD	2630	WHIP							
685	WHISTLE	SPEECH_AND_LANGUAGE	1025	WHISTLE							
686	WHITE	SENSE_PERCEPTION	1335	WHITE							
687	WHITE-LIPPED PECCARY	ANIMALS	436	WHITE-LIPPED PECCARY							
688	WIFE	KINSHIP	1199	WIFE							
689	WILD CAT	ANIMALS	2241	WILD CAT							
690	WILD DOG	ANIMALS	2448	WILD DOG							
691	WIND	THE_PHYSICAL_WORLD	960	WIND							
692	WINDOW	THE_HOUSE	1375	WINDOW							
693	WING	THE_BODY	1257	WING							
694	WITH	MISCELLANEOUS_FUNCTION_WORDS	1340	WITH							
695	WOMAN	KINSHIP	962	WOMAN							
696	WOOD	THE_PHYSICAL_WORLD	1803	WOOD							
697	WOOD	THE_PHYSICAL_WORLD	1803	WOOD							
698	WOODPECKER	ANIMALS	2447	WOODPECKER							
699	WOOLLY MONKEY										
700	WORK ON										
701	WOUND	THE_BODY	1109	WOUND							
702	YAM	AGRICULTURE_AND_VEGETATION	410	YAM							
703	YAWN	THE_BODY	1028	YAWN							
704	YEAR	TIME	1226	YEAR							
705	YELLOW	SENSE_PERCEPTION	1424	YELLOW							
706	YES	COGNITION	1268	YES							
707	YOU	KINSHIP	1213	YOU							
708	YOU TWO	KINSHIP	2111	YOU TWO							
709	YOUNGER BROTHER	KINSHIP	1760	YOUNGER BROTHER							
710	YOUNGER SISTER	KINSHIP	1761	YOUNGER SISTER							
