ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	INFOMAP	LEXSTATID	COGNATES
1636	Paumari	ACAI PALM	parai	parai	p a r a i	p a r a - i	311	311	AÇAÍ				1 7 5 7 7	AXBYZ	PARAI	7	7.P.C 7.A.V 7.R.C 7.A.V 7.I.V	2.0 1.5 1.75 1.3 0.8	parai	0	7	11	7	6	7	7
1839	Sorowaha	ACAI PALM	haɾami	haɾami	h a ɾ a m i	h a ɾ a m i	311	311	AÇAÍ				3 7 5 7 4 7	AXBYBZ	HARAMI	8	8.H.C 8.A.V 8.R.C 8.A.V 8.M.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	haɾami	0	13	11	13	6	7	13
10161	Deni	ACAI PALM	maraka	maraka	m a r a k a	m a r a k a	311	311	AÇAÍ				4 7 5 7 1 7	AXBYBZ	MARAKA	3	3.M.C 3.A.V 3.R.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	maraka	0	8	8	8	7	8	8
283	Banawa	AGOUTI	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI				3 7 4 7 4 7	AXBYBZ	SINAMA	2	2.S.C 2.I.V 2.N.C 2.A.V 2.M.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	sinama	0	14	12	14	8	9	14
623	Deni	AGOUTI	tsʰinama	tsʰinama	tsʰ i n a m a	tsʰ i n a m a	170	170	AGOUTI				2 7 4 7 4 7	AXBYBZ	CINAMA	3	3.C.C 3.I.V 3.N.C 3.A.V 3.M.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tsʰinama	0	15	12	14	8	9	14
892	Jamamadi	AGOUTI	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI				3 7 4 7 4 7	AXBYBZ	SINAMA	4	4.S.C 4.I.V 4.N.C 4.A.V 4.M.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	sinama	0	14	12	14	8	9	14
1255	Jarawara	AGOUTI	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI				3 7 4 7 4 7	AXBYBZ	SINAMA	5	5.S.C 5.I.V 5.N.C 5.A.V 5.M.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	sinama	0	14	12	14	8	9	14
1628	Kulina	AGOUTI	tsʰinama	tsʰinama	tsʰ i n a m a	tsʰ i n a m a	170	170	AGOUTI				2 7 4 7 4 7	AXBYBZ	CINAMA	6	6.C.C 6.I.V 6.N.C 6.A.V 6.M.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tsʰinama	0	15	12	14	8	9	14
10159	Sorowaha	AGOUTI	inamɨ	inamɨ	i n a m ɨ	i n a m ɨ	170	170	AGOUTI				7 4 7 4 7	XBYBZ	INAMI	8	8.I.V 8.N.C 8.A.V 8.M.C 8.I.V	1.5 1.75 1.3 1.75 0.8	inamɨ	0	20	12	14	8	9	14
10160	Paumari	AGOUTI	dʒaoʔoro	dʒaoʔoro	dʒ ao ʔ o r o	dʒ ao ʔ o r o	762	725	AGOUTI				1 7 1 7 5 7	AXBYBZ	TAHURU	7	7.T.C 7.A.V 7.H.C 7.U.V 7.R.C 7.U.V	2.0 1.5 1.75 1.3 1.75 0.8	dʒaoʔoro	0	19	17	19	9	14	19
898	Jarawara	ALL	naɸi	naɸi	n a ɸ i	n a ɸ i	1231	1231	ALL				4 7 3 7	AXBZ	NABI	5	5.N.C 5.A.V 5.B.C 5.I.V	2.0 1.5 1.75 0.8	naɸi	1	22	19	21	11	16	21
10080	Sorowaha	ALL	tumimaɾɨ	tumimaɾɨ	t u m i m a ɾ ɨ	t u m i m a ɾ ɨ	712	655	ALL				1 7 4 7 4 7 5 7	AXBYBYBZ	TYMIMARI	8	8.T.C 8.Y.V 8.M.C 8.I.V 8.M.C 8.A.V 8.R.C 8.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tumimaɾɨ	0	25	22	20	14	19	20
10129	Deni	ALL	tuχirariʔa / hika	tuχirariʔa	t u χ i r a r i ʔ a	t u χ i r a r i ʔ a	712	655	ALL				1 7 3 7 5 7 5 7 1 7	AXBYBYBYBZ	TYGIRARIHA	3	3.T.C 3.Y.V 3.G.C 3.I.V 3.R.C 3.A.V 3.R.C 3.I.V 3.H.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	tuχirariʔa	0	21	18	20	10	15	20
10130	Deni	ALL	tuχirariʔa / hika	hika	h i k a	h i k a	749	712	ALL				3 7 1 7	AXBZ	HIKA	3	3.H.C 3.I.V 3.K.C 3.A.V	2.0 1.5 1.75 0.8	hika	0	26	23	25	15	20	25
10131	Paumari	ALL	hehaviki / hahavi	hahavi	h a h a v i	h a h a v i	750	713	ALL				3 7 3 7 3 7	AXBYBZ	HAHABI	7	7.H.C 7.A.V 7.H.C 7.A.V 7.B.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hahavi	0	24	21	23	13	18	23
