# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
5166	Sorowaha	AXE	baaɾi	baaɾi	b aː ɾ i	AXE	217	217
#
531	Deni	BACK	ide	ide	i d e	BACK	71	71
1272	Kulina	BACK	nat̪ʰi / idɛ	nat̪ʰi	n a t̪ʰ i	BACK	323	323
1552	Kulina	BACK	nat̪ʰi / idɛ	idɛ	i d ɛ	BACK	71	71
#
296	Deni	BACURI	boti	boti	b o t i	BACURI	29	29
#
297	Deni	BAD	hirade	hirade	h i r a d e	BAD	324	324
1273	Kulina	BAD	bitsʰa / waidiɾa /tabakʰoɾa	bitsʰa	b i tsʰ a	BAD	357	286
1274	Kulina	BAD	bitsʰa / waidiɾa /tabakʰoɾa	tabakʰoɾa	t a b a kʰ o ɾ a	BAD	571	559
7563	Kulina	BAD	bitsʰa / waidiɾa /tabakʰoɾa	waidiɾa	w ai d i ɾ a	BAD	356	180
#
29	Banawa	BAMBOO	hado / toto	hado	h a d o	BAMBOO	237	237
30	Banawa	BAMBOO	hado / toto	toto	t o t o	BAMBOO	382	364
127	Banawa	BAMBOO	aɸi	aɸi	a ɸ i	BAMBOO	10	10
298	Deni	BAMBOO	hado	hado	h a d o	BAMBOO	237	237
439	Deni	BAMBOO	api	api	a p i	BAMBOO	10	10
638	Jamamadi	BAMBOO	hado	hado	h a d o	BAMBOO	237	237
730	Jamamadi	BAMBOO	aɸi	aɸi	a ɸ i	SMALL.BAMBOO.SP.	10	10
909	Jarawara	BAMBOO	hado / toto	hado	h a t o	BAMBOO	237	237
910	Jarawara	BAMBOO	hado / toto	toto	t o t o	BAMBOO	382	364
1058	Jarawara	BAMBOO	aɸi	aɸi	a ɸ i	SMALL.BAMBOO.SP.	10	10
1275	Kulina	BAMBOO	hado / totoɾɛ	hado	h a d o	BAMBOO	237	237
1276	Kulina	BAMBOO	hado / totoɾɛ	totoɾɛ	t o t o ɾ ɛ	BAMBOO	382	364
1433	Kulina	BAMBOO	api	api	a p i	SMALL.BAMBOO.SP.	10	10
#
886	Jamamadi	BANANA	satowi	satowi	s a t o w i	BANANA.SP.	162	162
#
31	Banawa	BARK	atari	atari	a t a r i	SKIN	208	208
299	Deni	BARK	etero	etero	e t e r o	SKIN	208	208
639	Jamamadi	BARK	atori	atori	a t o r i	SKIN	208	208
911	Jarawara	BARK	atari	atari	a t a r i	SKIN	208	208
1277	Kulina	BARK	ɛtɛɾo	ɛtɛɾo	ɛ t ɛ ɾ o	SKIN	208	208
10054	Sorowaha	BARK	asihi	asihi	a s i h i	SKIN	679	207
#
254	Banawa	BAT	mesebiri	mesebiri	m e s e b i r i	BAT SMALL	130	130
862	Jamamadi	BAT	masi	masi	m a s i	BAT	130	130
1224	Jarawara	BAT	masebiri	masebiri	m a s e b i r i	BAT SMALL	130	130
#
300	Deni	BATHE	konaha	konaha	k o n a h a	BATHE	276	276
1278	Kulina	BATHE	kona	kona	k o n a	BATHE	276	276
#
185	Banawa	BE	ha	ha	h a	BE	54	54
518	Deni	BE	ha	ha	h a	BE	54	54
1142	Jarawara	BE	ha	ha	h a	BE	54	54
1538	Kulina	BE	ha	ha	h a	BE	54	54
1935	Sorowaha	BE	ha	ha	h a	BE	54	54
#
1483	Kulina	BE ALIVE	madi	madi	m a d i	LIVE	1278	1278
10033	Sorowaha	BE ALIVE	agiha	agiha	a g i h a	LIVE	653	612
#
32	Banawa	BE ANGRY	hama / jawa	hama	h a m a	BE.ANGRY	325	325
207	Banawa	BE ANGRY	hama / jawa	jawa	j a w a	BE.ANGRY	86	86
423	Deni	BE ANGRY	hamiʔe	hamiʔe	h a m i ʔ e	BE.ANGRY	1232	1232
630	Jamamadi	BE ANGRY	hamini	hamini	h a m i n i	BE.ANGRY	1232	1232
816	Jamamadi	BE ANGRY	jawa	jawa	j a w a	BE.ANGRY	86	86
912	Jarawara	BE ANGRY	hama /jawa	hama	h a m a	BE.ANGRY	325	325
1168	Jarawara	BE ANGRY	hama /jawa	jawa	j a w a	BE.ANGRY	86	86
1951	Sorowaha	BE ANGRY	jawa	jawa	j a w a	BE.ANGRY	86	86
#
35	Banawa	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	BE.HUNGRY	327	327
302	Deni	BE HUNGRY	pemi	pemi	p e m i	BE.HUNGRY	327	327
641	Jamamadi	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	BE.HUNGRY	327	327
915	Jarawara	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	BE.HUNGRY	327	327
1279	Kulina	BE HUNGRY	pɛmi	pɛmi	p ɛ m i	BE.HUNGRY	327	327
#
303	Deni	BEAK	bono	bono	b o n o	BEAK	33	33
1280	Kulina	BEAK	bono	bono	b o n o	BEAK	33	33
#
5031	Sorowaha	BEAUTIFUL	ɨmɨzɨ	ɨmɨzɨ	ɨ m ɨ z ɨ	BEAUTIFUL	360	354
#
1281	Kulina	BECAUSE	hini	hini	h i n i	BECAUSE	361	355
#
1589	Kulina	BED	taboɾo	taboɾo	t a b o ɾ o	BED	132	408
#
36	Banawa	BEE	hiji	hiji	h i j i	BEE	245	245
304	Deni	BEE	hiji	hiji	h i j i	BEE	245	245
642	Jamamadi	BEE	hiji	hiji	h i j i	BEE	245	245
916	Jarawara	BEE	hiji	hiji	h i j i	BEE	245	245
1282	Kulina	BEE	hiji	hiji	h i j i	BEE	245	245
5000	Sorowaha	BEE	mukukʷa	mukukʷa	m u k u kʷ a	BEE	385	132
#
305	Deni	BEETLE	hijabo	hijabo	h i j a b o	BEETLE	242	242
643	Jamamadi	BEETLE	hijabo	hijabo	h i j a b o	BEETLE	242	242
917	Jarawara	BEETLE	hijabo	hijabo	h i j a b o	BEETLE	242	242
1283	Kulina	BEETLE	hijabo	hijabo	h i j a b o	BEETLE	242	242
#
37	Banawa	BELCH	dee	dee	d e e	BELCH	364	358
306	Deni	BELCH	de	de	d e	BELCH	364	364
918	Jarawara	BELCH	tee	tee	t e e	BELCH	364	358
1284	Kulina	BELCH	dɛɾɛɾɛ	dɛɾɛɾɛ	d ɛ ɾ ɛ ɾ ɛ	BELCH	364	364
#
307	Deni	BELLY	dzaha	dzaha	dz a h a	BELLY	287	287
369	Deni	BELLY	jehe	jehe	j e h e	ABDOMEN	1228	1228
919	Jarawara	BELLY	nabati	nabati	n a b a t i	BELLY	388	366
1285	Kulina	BELLY	idzoni	idzoni	i dz o n i	BELLY	387	367
