ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAIDS	LEXSTATIDS
10013	Sorowaha	CATERPILLAR	zaamakusa	zaamakusa	z aː m a + k u s a	THING ?	634	341 600	3 7 4 7 9 1 7 3 7	AXBZ_AXBZ	SAMA_KYSA	7	7.S.C 7.A.V 7.M.C 7.A.V 7._._ 7.K.C 7.Y.V 7.S.C 7.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	zaːma+kusa	0	478 479	478 479
138	Banawa	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215	1 7 3 7 4 7	AXBYBZ	PAHAMA	1	1.P.C 1.A.V 1.H.C 1.A.V 1.M.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bahama	0	481	481
742	Jamamadi	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215	1 7 3 7 4 7	AXBYBZ	PAHAMA	3	3.P.C 3.A.V 3.H.C 3.A.V 3.M.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bahama	0	481	481
1073	Jarawara	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215	1 7 3 7 4 7	AXBYBZ	PAHAMA	4	4.P.C 4.A.V 4.H.C 4.A.V 4.M.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bahama	0	481	481
1728	Paumari	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215	1 7 3 7 4 7	AXBYBZ	PAHAMA	6	6.P.C 6.A.V 6.H.C 6.A.V 6.M.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bahama	0	481	481
10128	Sorowaha	CHAMELEON	zukutu	zukutu	z u k u t u	CHAMELEON	748	710	3 7 1 7 1 7	AXBYBZ	SYKYTY	7	7.S.C 7.Y.V 7.K.C 7.Y.V 7.T.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	zukutu	0	486	486
48	Banawa	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331	7 1 7 1 7	XBYBZ	EPETE	1	1.E.V 1.P.C 1.E.V 1.T.C 1.E.V	1.5 1.75 1.3 1.75 0.8	ebete	0	488	488
428	Deni	CHEEK	ebethe	ebethe	e b e t h e	CHEEK	598	331	7 1 7 1 3 7	XBYBCZ	EPETHE	2	2.E.V 2.P.C 2.E.V 2.T.C 2.H.C 2.E.V	1.5 1.75 1.3 1.75 1.5 0.8	ebethe	0	488	488
655	Jamamadi	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331	7 1 7 1 7	XBYBZ	EPETE	3	3.E.V 3.P.C 3.E.V 3.T.C 3.E.V	1.5 1.75 1.3 1.75 0.8	ebete	0	488	488
934	Jarawara	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331	7 1 7 1 7	XBYBZ	EPETE	4	4.E.V 4.P.C 4.E.V 4.T.C 4.E.V	1.5 1.75 1.3 1.75 0.8	ebete	0	488	488
1297	Kulina	CHEEK	ɛbɛt̪ʰɛ	ɛbɛt̪ʰɛ	ɛ b ɛ t̪ʰ ɛ	CHEEK	331	331	7 1 7 1 7	XBYBZ	EPETE	5	5.E.V 5.P.C 5.E.V 5.T.C 5.E.V	1.5 1.75 1.3 1.75 0.8	ɛbɛt̪ʰɛ	0	488	488
49	Banawa	CHEST	baki	baki	b a k i	CHEST	21	21	1 7 1 7	AXBZ	PAKI	1	1.P.C 1.A.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	baki	0	494	494
320	Deni	CHEST	bakho	bakho	b a kʰ o	CHEST	21	21	1 7 1 7	AXBZ	PAKU	2	2.P.C 2.A.V 2.K.C 2.U.V	2.0 1.5 1.75 0.8	bakʰo	0	494	494
656	Jamamadi	CHEST	baki	baki	b a k i	CHEST	21	21	1 7 1 7	AXBZ	PAKI	3	3.P.C 3.A.V 3.K.C 3.I.V	2.0 1.5 1.75 0.8	baki	0	494	494
935	Jarawara	CHEST	baki	baki	b a k i	CHEST	21	21	1 7 1 7	AXBZ	PAKI	4	4.P.C 4.A.V 4.K.C 4.I.V	2.0 1.5 1.75 0.8	baki	0	494	494
1298	Kulina	CHEST	bakʰo	bakʰo	b a kʰ o	CHEST	21	21	1 7 1 7	AXBZ	PAKU	5	5.P.C 5.A.V 5.K.C 5.U.V	2.0 1.5 1.75 0.8	bakʰo	1	494	494
1647	Paumari	CHEST	makhoʔini	makhoʔini	m a kʰ o + ʔ i n i	CHEST ?	21	21 503	4 7 1 7 9 1 7 4 7	AXBZ_AXBZ	MAKU_HINI	6	6.M.C 6.A.V 6.K.C 6.U.V 6._._ 6.H.C 6.I.V 6.N.C 6.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	makʰo+ʔini	0	494 495	494 495
10043	Sorowaha	CHICKEN	akaɾa	akaɾa	a k a ɾ a	CHICKEN	663	621	7 1 7 5 7	XBYBZ	AKARA	7	7.A.V 7.K.C 7.A.V 7.R.C 7.A.V	1.5 1.75 1.3 1.75 0.8	akaɾa	0	502	502
936	Jarawara	CHILD	inamatewe	inamatewe	i n a m a t e w e	CHILD	395	374	7 4 7 4 7 1 7 6 7	XBYBYBYBZ	INAMATEWE	4	4.I.V 4.N.C 4.A.V 4.M.C 4.A.V 4.T.C 4.E.V 4.W.C 4.E.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	inamatewe	0	505	505
1299	Kulina	CHILD	ɛhɛdɛni	ɛhɛdɛni	ɛ h ɛ d ɛ n i	CHILD	396	375	7 3 7 1 7 4 7	XBYBYBZ	EHETENI	5	5.E.V 5.H.C 5.E.V 5.T.C 5.E.V 5.N.C 5.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ɛhɛdɛni	0	504	504
10174	Paumari	CHILD	badia / isai	badia	b a d ia	CHILD	772	736	1 7 1 7	AXBZ	PATI	6	6.P.C 6.A.V 6.T.C 6.I.V	2.0 1.5 1.75 0.8	badia	1	506	506
10175	Paumari	CHILD	badia / isai	isai	i s ai	CHILD	773	737	7 3 7	XBZ	ISA	6	6.I.V 6.S.C 6.A.V	1.5 1.75 0.8	isai	0	507	507
10176	Deni	CHILD	eheve	eheve	e h e v e	CHILD	774	738	7 3 7 3 7	XBYBZ	EHEBE	2	2.E.V 2.H.C 2.E.V 2.B.C 2.E.V	1.5 1.75 1.3 1.75 0.8	eheve	0	504	504
218	Banawa	CHIN	anade	anade	a n a d e	CHIN	100	100	7 4 7 1 7	XBYBZ	ANATE	1	1.A.V 1.N.C 1.A.V 1.T.C 1.E.V	1.5 1.75 1.3 1.75 0.8	anade	0	510	510
552	Deni	CHIN	anada	anada	a n a d a	CHIN	100	100	7 4 7 1 7	XBYBZ	ANATA	2	2.A.V 2.N.C 2.A.V 2.T.C 2.A.V	1.5 1.75 1.3 1.75 0.8	anada	0	510	510
826	Jamamadi	CHIN	anade	anade	a n a d e	CHIN	100	100	7 4 7 1 7	XBYBZ	ANATE	3	3.A.V 3.N.C 3.A.V 3.T.C 3.E.V	1.5 1.75 1.3 1.75 0.8	anade	0	510	510
1179	Jarawara	CHIN	anate	anate	a n a t e	CHIN	100	100	7 4 7 1 7	XBYBZ	ANATE	4	4.A.V 4.N.C 4.A.V 4.T.C 4.E.V	1.5 1.75 1.3 1.75 0.8	anate	0	510	510
1574	Kulina	CHIN	anada	anada	a n a d a	CHIN	100	100	7 4 7 1 7	XBYBZ	ANATA	5	5.A.V 5.N.C 5.A.V 5.T.C 5.A.V	1.5 1.75 1.3 1.75 0.8	anada	0	510	510
1795	Paumari	CHIN	kanada	kanada	k a n a d a	CHIN	100	100	1 7 4 7 1 7	AXBYBZ	KANATA	6	6.K.C 6.A.V 6.N.C 6.A.V 6.T.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kanada	0	510	510
10094	Sorowaha	CHIN	zaɾadɨ	zaɾadɨ	z a ɾ a d ɨ	CHIN	724	672	3 7 5 7 1 7	AXBYBZ	SARATI	7	7.S.C 7.A.V 7.R.C 7.A.V 7.T.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	zaɾadɨ	0	510	511
10035	Sorowaha	CHOKE	aha	aha	a h a	CHOKE	655	614	7 3 7	XBZ	AHA	7	7.A.V 7.H.C 7.A.V	1.5 1.75 0.8	aha	1	518	518
1768	Paumari	CICADA	ɗiriri	ɗiriri	ɗ i r i r i	CICADA	51	51	1 7 5 7 5 7	AXBYBZ	TIRIRI	6	6.T.C 6.I.V 6.R.C 6.I.V 6.R.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ɗiriri	0	521	521
1933	Sorowaha	CICADA	dieɾidieɾi / dʲɛɾidʲɛɾi	dieɾidieɾi	d ie ɾ i d ie ɾ i	CICADA	51	51	1 7 5 7 1 7 5 7	AXBYBYBZ	TIRITIRI	7	7.T.C 7.I.V 7.R.C 7.I.V 7.T.C 7.I.V 7.R.C 7.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	dieɾidieɾi	0	521	521
5006	Sorowaha	CICADA	dieɾidieɾi / dʲɛɾidʲɛɾi	dʲɛɾidʲɛɾi	dʲ ɛ ɾ i dʲ ɛ ɾ i	CICADA	51	51	1 7 5 7 1 7 5 7	AXBYBYBZ	TERITERI	7	7.T.C 7.E.V 7.R.C 7.I.V 7.T.C 7.E.V 7.R.C 7.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	dʲɛɾidʲɛɾi	0	521	521
5074	Kulina	CICADA	wahano	wahano	w a h a n o	CICADA	195	195	6 7 3 7 4 7	AXBYBZ	WAHANU	5	5.W.C 5.A.V 5.H.C 5.A.V 5.N.C 5.U.V	2.0 1.5 1.75 1.3 1.75 0.8	wahano	1	520	520
5075	Jarawara	CICADA	wahana	wahana	w a h a n a	CICADA	195	195	6 7 3 7 4 7	AXBYBZ	WAHANA	4	4.W.C 4.A.V 4.H.C 4.A.V 4.N.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wahana	0	520	520
5076	Banawa	CICADA	wahana	wahana	w a h a n a	CICADA	195	195	6 7 3 7 4 7	AXBYBZ	WAHANA	1	1.W.C 1.A.V 1.H.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wahana	0	520	520
5077	Jamamadi	CICADA	wahana	wahana	w a h a n a	CICADA	195	195	6 7 3 7 4 7	AXBYBZ	WAHANA	3	3.W.C 3.A.V 3.H.C 3.A.V 3.N.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wahana	0	520	520
1963	Sorowaha	CLOTHES	tahɨ	tahɨ	t a h ɨ	unknown6	620	409	1 7 3 7	AXBZ	TAHI	7	7.T.C 7.A.V 7.H.C 7.I.V	2.0 1.5 1.75 0.8	tahɨ	0	528	528
938	Jarawara	CLOUD	sabi	sabi	s a b i	CLOUD	506	491	3 7 1 7	AXBZ	SAPI	4	4.S.C 4.A.V 4.P.C 4.I.V	2.0 1.5 1.75 0.8	sabi	0	531	531
1301	Kulina	CLOUD	mɛmɛ ɛtsʰɛ	mɛmɛ ɛtsʰɛ	m ɛ m ɛ + ɛ tsʰ ɛ	CLOUD ?	507	1001 1002	4 7 4 7 9 7 2 7	AXBZ_XBZ	MEME_ECE	5	5.M.C 5.E.V 5.M.C 5.E.V 5._._ 5.E.V 5.C.C 5.E.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 0.8	mɛmɛ+ɛtsʰɛ	0	532 533	532 533
10177	Paumari	CLOUD	bahi	bahi	b a h i	CLOUD	775	739	1 7 3 7	AXBZ	PAHI	6	6.P.C 6.A.V 6.H.C 6.I.V	2.0 1.5 1.75 0.8	bahi	1	534	534
10178	Deni	CLOUD	aʃivani	aʃivani	a ʃ i v a n i	SMOKE	776	740	7 3 7 3 7 4 7	XBYBYBZ	ASIBANI	2	2.A.V 2.S.C 2.I.V 2.B.C 2.A.V 2.N.C 2.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	aʃivani	0	530	530
216	Banawa	COATI (COATIMUNDI)	jotomi	jotomi	j o t o m i	COATI	96	96	6 7 1 7 4 7	AXBYBZ	JUTUMI	1	1.J.C 1.U.V 1.T.C 1.U.V 1.M.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jotomi	0	536	536
548	Deni	COATI (COATIMUNDI)	jotomi	jotomi	j o t o m i	COATI	96	96	6 7 1 7 4 7	AXBYBZ	JUTUMI	2	2.J.C 2.U.V 2.T.C 2.U.V 2.M.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jotomi	0	536	536
824	Jamamadi	COATI (COATIMUNDI)	jotomi	jotomi	j o t o m i	COATI	96	96	6 7 1 7 4 7	AXBYBZ	JUTUMI	3	3.J.C 3.U.V 3.T.C 3.U.V 3.M.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jotomi	0	536	536
1177	Jarawara	COATI (COATIMUNDI)	jotomi	jotomi	j o t o m i	COATI	96	96	6 7 1 7 4 7	AXBYBZ	JUTUMI	4	4.J.C 4.U.V 4.T.C 4.U.V 4.M.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jotomi	0	536	536
1571	Kulina	COATI (COATIMUNDI)	jotomi	jotomi	j o t o m i	COATI	96	96	6 7 1 7 4 7	AXBYBZ	JUTUMI	5	5.J.C 5.U.V 5.T.C 5.U.V 5.M.C 5.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jotomi	0	536	536
5168	Sorowaha	COATI (COATIMUNDI)	baɾihini	baɾihini	b a ɾ i h i n i	COATI	556	549	1 7 5 7 3 7 4 7	AXBYBYBZ	PARIHINI	7	7.P.C 7.A.V 7.R.C 7.I.V 7.H.C 7.I.V 7.N.C 7.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	baɾihini	0	537	537
5023	Sorowaha	COCKROACH	ʃʲuɾuhʷa	ʃʲuɾuhʷa	ʃʲ u ɾ u hʷ a	COCKROACH	444	427	3 7 5 7 3 7	AXBYBZ	SYRYHA	7	7.S.C 7.Y.V 7.R.C 7.Y.V 7.H.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ʃʲuɾuhʷa	0	543	543
286	Banawa	COLD	siri	siri	s i r i	BE.COLD	173	173	3 7 5 7	AXBZ	SIRI	1	1.S.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	siri	0	545	545
322	Deni	COLD	mimide	mimide	m i m i d e	COLD	572	368	4 7 4 7 1 7	AXBYBZ	MIMITE	2	2.M.C 2.I.V 2.M.C 2.I.V 2.T.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	mimide	0	546	546
625	Deni	COLD	tsʰirini	tsʰirini	tsʰ i r i n i	BE.COLD	173	173	2 7 5 7 4 7	AXBYBZ	CIRINI	2	2.C.C 2.I.V 2.R.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tsʰirini	0	545	545
895	Jamamadi	COLD	siri	siri	s i r i	BE.COLD	173	173	3 7 5 7	AXBZ	SIRI	3	3.S.C 3.I.V 3.R.C 3.I.V	2.0 1.5 1.75 0.8	siri	0	545	545
1258	Jarawara	COLD	siri	siri	s i r i	BE.COLD	173	173	3 7 5 7	AXBZ	SIRI	4	4.S.C 4.I.V 4.R.C 4.I.V	2.0 1.5 1.75 0.8	siri	0	545	545
1302	Kulina	COLD	tsʰiɾi	tsʰiɾi	tsʰ i ɾ i	COLD	573	560	2 7 5 7	AXBZ	CIRI	5	5.C.C 5.I.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8	tsʰiɾi	1	545	545
1631	Kulina	COLD	tsiɾi	tsiɾi	ts i ɾ i	BE.COLD	173	173	2 7 5 7	AXBZ	CIRI	5	5.C.C 5.I.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8	tsiɾi	0	545	545
1832	Paumari	COLD	pahisiri	pahisiri	p a h i s i r i	BE.COLD	173	173	1 7 3 7 3 7 5 7	AXBYBYBZ	PAHISIRI	6	6.P.C 6.A.V 6.H.C 6.I.V 6.S.C 6.I.V 6.R.C 6.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	pahisiri	0	545	545
5059	Sorowaha	COMB	maʃiɾi	maʃiɾi	m a ʃ i ɾ i	COMB	433	416	4 7 3 7 5 7	AXBYBZ	MASIRI	7	7.M.C 7.A.V 7.S.C 7.I.V 7.R.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	maʃiɾi	0	554	554
10078	Sorowaha	COME	sɨza	sɨza	s ɨ z a	COME	710	653	3 7 3 7	AXBZ	SISA	7	7.S.C 7.I.V 7.S.C 7.A.V	2.0 1.5 1.75 0.8	sɨza	0	556	556
181	Banawa	COOK (SOMETHING)	kaha	kaha	k a h a	COOK	367	1117	1 7 3 7	AXBZ	KAHA	1	1.K.C 1.A.V 1.H.C 1.A.V	2.0 1.5 1.75 0.8	kaha	0	558	558
509	Deni	COOK (SOMETHING)	kaʔa	kaʔa	k a ʔ a	COOK	367	1117	1 7 1 7	AXBZ	KAHA	2	2.K.C 2.A.V 2.H.C 2.A.V	2.0 1.5 1.75 0.8	kaʔa	0	558	558
790	Jamamadi	COOK (SOMETHING)	kaha	kaha	k a h a	COOK	367	1117	1 7 3 7	AXBZ	KAHA	3	3.K.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	kaha	0	558	558
1138	Jarawara	COOK (SOMETHING)	kaha	kaha	k a h a	COOK	367	1117	1 7 3 7	AXBZ	KAHA	4	4.K.C 4.A.V 4.H.C 4.A.V	2.0 1.5 1.75 0.8	kaha	0	558	558
1535	Kulina	COOK (SOMETHING)	kaaɾi	kaaɾi	k aː ɾ i	COOK	549	540	1 7 5 7	AXBZ	KARI	5	5.K.C 5.A.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8	kaːɾi	0	558	559
1761	Paumari	COOK (SOMETHING)	kai	kai	k a i	COOK	549	540	1 7 7	AXZ	KAI	6	6.K.C 6.A.V 6.I.V	2.0 1.5 0.8	kai	0	558	559
