ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Semantic_Field
99_chest,CHEST,1592,CHEST,,THE_BODY
100_chicken,CHICKEN,1318,CHICKEN,,ANIMALS
101_child,CHILD,2099,CHILD,,KINSHIP
102_chin,CHIN,1510,CHIN,,THE_BODY
103_choke,CHOKE,129,CHOKE,,FOOD_AND_DRINK
104_chop,CHOP,155,CHOP,,BASIC_ACTIONS_AND_TECHNOLOGY
105_cicada,CICADA,2353,CICADA,,ANIMALS
107_clothes,CLOTHES,1895,CLOTHES,,CLOTHING_AND_GROOMING
108_cloud,CLOUD,1489,CLOUD,,THE_PHYSICAL_WORLD
109_coaticoatimundi,COATI (COATIMUNDI),2389,COATI (COATIMUNDI),,ANIMALS
110_cockroach,COCKROACH,1575,COCKROACH,,ANIMALS
111_cold,COLD,1287,COLD,,SENSE_PERCEPTION
112_collaredpeccary,COLLARED PECCARY,435,COLLARED PECCARY,,ANIMALS
113_comb,COMB,1475,COMB,,CLOTHING_AND_GROOMING
114_come,COME,1446,COME,,MOTION
115_cooksomething,COOK (SOMETHING),1100,COOK (SOMETHING),,FOOD_AND_DRINK
117_corpse,CORPSE,767,CORPSE,,THE_BODY
118_correctright,CORRECT (RIGHT),1725,CORRECT (RIGHT),,EMOTIONS_AND_VALUES
119_cotton,COTTON,1850,COTTON,,CLOTHING_AND_GROOMING
120_cough,COUGH,879,COUGH,,THE_BODY
121_crab,CRAB,2348,CRAB,,ANIMALS
122_cricket,CRICKET,2354,CRICKET,,ANIMALS
123_cry,CRY,1839,CRY,,EMOTIONS_AND_VALUES
124_cultivatedfield,CULTIVATED FIELD,,,,THE_PHYSICAL_WORLD
125_curassow,CURASSOW,315,CURASSOW,,ANIMALS
126_cut,CUT,1432,CUT,,BASIC_ACTIONS_AND_TECHNOLOGY
127_dark,DARK,706,DARK,,THE_PHYSICAL_WORLD
128_daughter,DAUGHTER,1357,DAUGHTER,,KINSHIP
129_daynotnight,DAY (NOT NIGHT),1225,DAY (NOT NIGHT),,TIME
130_deep,DEEP,1593,DEEP,,SPATIAL_RELATIONS
131_deer,DEER,1936,DEER,,ANIMALS
132_die,DIE,1494,DIE,,THE_BODY
133_dig,DIG,1418,DIG,,AGRICULTURE_AND_VEGETATION
134_dirty,DIRTY,1230,DIRTY,,SENSE_PERCEPTION
135_disappear,DISAPPEAR,485,DISAPPEAR,,MOTION
136_doormake,DO OR MAKE,2575,DO OR MAKE,,BASIC_ACTIONS_AND_TECHNOLOGY
137_dog,DOG,2009,DOG,,ANIMALS
138_door,DOOR,1567,DOOR,,THE_HOUSE
139_dove,DOVE,1853,DOVE,,ANIMALS
140_dream,DREAM,2374,DREAM,,THE_BODY
141_drink,DRINK,1401,DRINK,,FOOD_AND_DRINK
142_drown,DROWN,1904,DROWN,,THE_BODY
143_dry,DRY,1398,DRY,,SENSE_PERCEPTION
144_dryup,DRY UP,1786,DRY UP,,BASIC_ACTIONS_AND_TECHNOLOGY
145_dull,DULL,1397,DULL,,SENSE_PERCEPTION
146_dust,DUST,2,DUST,,THE_PHYSICAL_WORLD
147_eagleorhawk,EAGLE OR HAWK,2683,EAGLE OR HAWK,,ANIMALS
148_ear,EAR,1247,EAR,,THE_BODY
149_earthsoil,EARTH (SOIL),1228,EARTH (SOIL),,THE_PHYSICAL_WORLD
150_earthworm,EARTHWORM,2350,EARTHWORM,,ANIMALS
151_eat,EAT,1336,EAT,,FOOD_AND_DRINK
152_edge,EDGE,863,EDGE,,SPATIAL_RELATIONS
153_egg,EGG,744,EGG,,FOOD_AND_DRINK
154_electriceel,ELECTRIC EEL,2443,ELECTRIC EEL,,ANIMALS
155_embaubagenuscecropia,EMBAUBA (genus Cecropia),3931,EMBAUBA (genus Cecropia),,AGRICULTURE_AND_VEGETATION
156_exchange,EXCHANGE,2509,EXCHANGE,,BASIC_ACTIONS_AND_TECHNOLOGY
157_exist,EXIST,,,,
158_eye,EYE,1248,EYE,,THE_BODY
159_eyebrow,EYEBROW,1173,EYEBROW,,THE_BODY
160_faecesexcrement,FAECES (EXCREMENT),675,FAECES (EXCREMENT),,THE_BODY
161_fall,FALL,1280,FALL,,MOTION
162_fanobject,FAN (OBJECT),1971,FAN (OBJECT),,BASIC_ACTIONS_AND_TECHNOLOGY
163_far,FAR,1406,FAR,,SPATIAL_RELATIONS
164_fast,FAST,1631,FAST,,TIME
165_fasten,FASTEN,1094,FASTEN,,BASIC_ACTIONS_AND_TECHNOLOGY
166_fatobese,FAT (OBESE),1279,FAT (OBESE),,SPATIAL_RELATIONS
167_fatorganicsubstance,FAT (ORGANIC SUBSTANCE),323,FAT (ORGANIC SUBSTANCE),,THE_BODY
168_father,FATHER,1217,FATHER,,KINSHIP
169_fearbeafraid,FEAR (BE AFRAID),1419,FEAR (BE AFRAID),,EMOTIONS_AND_VALUES
170_feather,FEATHER,1201,FEATHER,,THE_BODY
171_finger,FINGER,1303,FINGER,,THE_BODY
172_fingernail,FINGERNAIL,1258,FINGERNAIL,,THE_BODY
173_finish,FINISH,1766,FINISH,,TIME
174_fire,FIRE,221,FIRE,,THE_PHYSICAL_WORLD
175_firefly,FIREFLY,206,FIREFLY,,ANIMALS
176_firewood,FIREWOOD,10,FIREWOOD,,THE_PHYSICAL_WORLD
177_first,FIRST,728,FIRST,,QUANTITY
178_fish,FISH,227,FISH,,ANIMALS
179_fishhook,FISHHOOK,1074,FISHHOOK,,WARFARE_AND_HUNTING
180_fix,FIX,3074,FIX,,BASIC_ACTIONS_AND_TECHNOLOGY
181_flat,FLAT,1633,FLAT,,SPATIAL_RELATIONS
182_fleshormeat,FLESH OR MEAT,2615,FLESH OR MEAT,,THE_BODY
183_flour,FLOUR,1594,FLOUR,,FOOD_AND_DRINK
184_flower,FLOWER,239,FLOWER,,AGRICULTURE_AND_VEGETATION
185_fly,FLY,1441,FLY (MOVE THROUGH AIR),,MOTION
186_flyinsect,FLY (INSECT),1504,FLY (INSECT),,ANIMALS
187_fog,FOG,249,FOG,,THE_PHYSICAL_WORLD
188_food,FOOD,256,FOOD,,FOOD_AND_DRINK
189_foot,FOOT,1301,FOOT,,THE_BODY
190_forehead,FOREHEAD,123,FOREHEAD,,THE_BODY
191_forest,FOREST,420,FOREST,,THE_PHYSICAL_WORLD
192_forget,FORGET,1523,FORGET,,COGNITION
193_fragrant,FRAGRANT,376,FRAGRANT,,SENSE_PERCEPTION
194_friend,FRIEND,1325,FRIEND,,SOCIAL_AND_POLITICAL_RELATIONS
195_frog,FROG,503,FROG,,ANIMALS
196_fruit,FRUIT,1507,FRUIT,,FOOD_AND_DRINK
197_fruittree,FRUIT TREE,,,,AGRICULTURE_AND_VEGETATION
198_fruitvine,FRUIT VINE,,,,AGRICULTURE_AND_VEGETATION
199_full,FULL,1429,FULL,,QUANTITY
200_gameanimal,GAME (ANIMAL),,,,
202_genipa,GENIPA,3920,GENIPA,,AGRICULTURE_AND_VEGETATION
203_giantriverotter,GIANT RIVER OTTER,1262,BROTHER,,ANIMALS
204_girl,GIRL,1646,GIRL,,KINSHIP
205_give,GIVE,1447,GIVE,,POSSESSION
206_go,GO,695,GO,,MOTION
207_good,GOOD,1035,GOOD,,EMOTIONS_AND_VALUES
208_gourd,GOURD,411,GOURD,,AGRICULTURE_AND_VEGETATION
209_grandchild,GRANDCHILD,1617,GRANDCHILD,,KINSHIP
210_grandfather,GRANDFATHER,1383,GRANDFATHER,,KINSHIP
211_grass,GRASS,606,GRASS,,AGRICULTURE_AND_VEGETATION
212_grasshopper,GRASSHOPPER,607,GRASSHOPPER,,ANIMALS
213_gratesomething,GRATE (SOMETHING),3114,GRATE (SOMETHING),,BASIC_ACTIONS_AND_TECHNOLOGY
215_ground,GROUND,2159,GROUND,,THE_PHYSICAL_WORLD
216_growl,GROWL,3679,GROWL,,ANIMALS
217_guan,GUAN,437,GUAN,,ANIMALS
218_guava,GUAVA,,,,AGRICULTURE_AND_VEGETATION
219_hair,HAIR,1040,HAIR,,THE_BODY
220_hammock,HAMMOCK,2019,HAMMOCK,,THE_HOUSE
221_hand,HAND,1277,HAND,,THE_BODY
222_happy,HAPPY,1495,HAPPY,,EMOTIONS_AND_VALUES
223_hard,HARD,1884,HARD,,SENSE_PERCEPTION
224_havesex,HAVE SEX,1785,HAVE SEX,,THE_BODY
226_he,HE,1211,HE,,KINSHIP
227_head,HEAD,1256,HEAD,,THE_BODY
228_hear,HEAR,1408,HEAR,,SENSE_PERCEPTION
229_heart,HEART,1223,HEART,,THE_BODY
230_heavy,HEAVY,1210,HEAVY,,SENSE_PERCEPTION
231_here,HERE,136,HERE,,MISCELLANEOUS_FUNCTION_WORDS
232_heron,HERON,758,HERON,,ANIMALS
233_hiccough,HICCOUGH,162,HICCOUGH,,THE_BODY
234_highortall,HIGH OR TALL,2790,HIGH OR TALL,,SPATIAL_RELATIONS
235_holdortake,HOLD OR TAKE,2104,HOLD OR TAKE,,BASIC_ACTIONS_AND_TECHNOLOGY
236_hole,HOLE,1667,HOLE,,SPATIAL_RELATIONS
240_hopliashopliasmalabaricus,HOPLIAS (Hoplias malabaricus),,,,
241_hopliassp,HOPLIAS (sp.),,,,
242_hornanatomy,HORN (ANATOMY),1393,HORN (ANATOMY),,THE_BODY
243_horsefly,HORSEFLY,3262,HORSEFLY,,ANIMALS
244_hot,HOT,1286,HOT,,SENSE_PERCEPTION
245_house,HOUSE,1252,HOUSE,,THE_HOUSE
247_howlermonkey,HOWLER MONKEY,433,HOWLER MONKEY,,ANIMALS
249_hunt,HUNT,1435,HUNT,,WARFARE_AND_HUNTING
250_husband,HUSBAND,1200,HUSBAND,,KINSHIP
251_i,I,1209,I,,KINSHIP
254_imbauba,IMBAUBA,,,,
