ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Kulina-462_pregnant-1,,Kulina,462_pregnant,hia,hia,h ia,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,PREGNANT,1581,1562
Deni-463_pretend-1,,Deni,463_pretend,wadawada,wadawada,w a d a + w a d a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,PRETEND PRETEND,592,578 578
ProtoArawan-463_pretend-1,,ProtoArawan,463_pretend,ɓada,ɓada,ɓ a d a,,dixon2004proto,,,,,PRETEND,592,578
Paumari-463_pretend-1,,Paumari,463_pretend,badara,badara,ɓ a ɗ a r a,,dixon2004proto;chapman1998dicionario,,,,,PRETEND,592,578
Deni-468_pullout-1,,Deni,468_pullout,jopha,jopha,j o pʰ a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,PULL.OUT,315,315
Kulina-468_pullout-1,,Kulina,468_pullout,jopʰa,jopʰa,j o pʰ a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,PULL.OUT,315,315
Paumari-468_pullout-1,,Paumari,468_pullout,rasoha,rasoha,r a s o h a,,dixon2004proto;chapman1998dicionario,,,,,PULL.OUT,315,315
ProtoArawan-468_pullout-1,,ProtoArawan,468_pullout,rajopha,rajopha,r a j o pʰ a,,dixon2004proto,,,,,PULL.OUT,315,315
Banawa-468_pullout-1,,Banawa,468_pullout,soba,soba,s o b a,,ladefoged1997phonetic,,,,,PULL.OUT,315,315
Jarawara-468_pullout-1,,Jarawara,468_pullout,soba,soba,s o b a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,PULL.OUT,315,315
Jamamadi-468_pullout-1,,Jamamadi,468_pullout,soba,soba,s o b a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,PULL.OUT,315,315
Deni-479_red-1,,Deni,479_red,makude,makude,m a k u d e,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,RED,595,582
Kulina-479_red-1,,Kulina,479_red,makʰo / mapʰaɾa,makʰo,m a kʰ o,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,RED,595,582
Kulina-479_red-2,,Kulina,479_red,makʰo / mapʰaɾa,mapʰaɾa,m a pʰ a ɾ a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,RED,596,581
Sorowaha-479_red-1,,Sorowaha,479_red,ad̥a,ad̥a,a d̥ a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,RED,596,581
Paumari-479_red-1,,Paumari,479_red,nadara,nadara,n a ɗ a r a,,dixon2004proto;chapman1998dicionario,,,,,RED,596,581
Jarawara-479_red-1,,Jarawara,479_red,mawa,mawa,m a w a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,RED,834,1151
Banawa-479_red-1,,Banawa,479_red,mawa,mawa,m a w a,,ladefoged1997phonetic,,,,,RED,834,1151
Jamamadi-479_red-1,,Jamamadi,479_red,mawa,mawa,m a w a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,RED,834,1151
Paumari_1833-479_red-1,,Paumari_1833,479_red,vuatarake,vuatarake,v ua t a r a k e,,,,,,,RED,596,581
Arasairi-479_red-1,,Arasairi,479_red,dahuabenda,dahuabenda,d a h u a b e + n/d a,,aza1933arasairi,,,,,RED ?,1657,1642 1643
Toyeri-479_red-1,,Toyeri,479_red,wambedⁿ,wambedⁿ,w a m/b e + dⁿ,,peck1979toyeri,,,,,RED ?,1657,162 1643
Sapiteri-479_red-1,,Sapiteri,479_red,wambedⁿa,wambedⁿa,w a m/b e + dⁿ a,,,,,,,RED ?,1657,1642 1643
Deni-481_resin-1,,Deni,481_resin,moja,moja,m o j a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,RESIN,295,295
Kulina-481_resin-1,,Kulina,481_resin,moja,moja,m o j a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,RESIN,295,295
Sorowaha-481_resin-1,,Sorowaha,481_resin,moja,moja,m o j a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,RESIN,295,295
ProtoArawan-481_resin-1,,ProtoArawan,481_resin,moja,moja,m o j a,,dixon2004proto,,,,,RESIN,295,295
Jarawara-481_resin-1,,Jarawara,481_resin,wami,wami,w a m i,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,RESIN,1915,1896
Jamamadi-481_resin-1,,Jamamadi,481_resin,wami,wami,w a m i,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,RESIN,1915,1896
Banawa-481_resin-1,,Banawa,481_resin,wami,wami,w a m i,,ladefoged1997phonetic,,,,,RESIN,1915,1896
Deni-484_river-1,,Deni,484_river,patsu,patsu,p a ts u,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,WATER,597,157
Kulina-484_river-1,,Kulina,484_river,wɛni,wɛni,w ɛ n i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,RIVER,430,417
Paumari-484_river-1,,Paumari,484_river,βaini,βaini,β ai n i,,dixon2004proto;chapman1998dicionario,,,,,RIVER,430,417
Arawa-484_river-1,,Arawa,484_river,paha,paha,p a h a,,ehrenreich1897materialien,,,,,WATER,597,157
Katawishi-484_river-1,,Katawishi,484_river,waha,waha,w a + h aː,,adelaar2007katawixi;tastevin1920notes,,,,,WATER ?,597,157 583
ProtoArawan-484_river-1,,ProtoArawan,484_river,waini,waini,w ai n i,,dixon2004proto,,,,,RIVER,430,417
