ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Deni-173_eat-1,,Deni,173_eat,kadapi / hao / komi,kadapi,k a d a p i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,EAT,609,593
Deni-173_eat-2,,Deni,173_eat,kadapi / hao / komi,hao,h a o,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,EAT,53,53
Deni-173_eat-3,,Deni,173_eat,kadapi / hao / komi,komi,k o m i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,SUCK,610,683
Kulina-173_eat-1,,Kulina,173_eat,hipa,hipa,h i p a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,EAT,608,592
Paumari-173_eat-1,,Paumari,173_eat,ha,ha,h a,,dixon2004proto;chapman1998dicionario,,,,,EAT,53,53
Sorowaha-173_eat-1,,Sorowaha,173_eat,hawa,hawa,h a w a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,EAT,53,53
Banawa-173_eat-1,,Banawa,173_eat,taɸa,taɸa,t a ɸ a,,ladefoged1997phonetic,,,,,EAT,184,184
Jarawara-173_eat-1,,Jarawara,173_eat,taɸa,taɸa,t a ɸ a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,EAT,184,184
Jamamadi-173_eat-1,,Jamamadi,173_eat,taɸa,taɸa,t a ɸ a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,EAT,184,184
Amarakaeri-173_eat-1,,Amarakaeri,173_eat,pe,pe,p e,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,EAT,882,841
ProtoArawan-173_eat-1,,ProtoArawan,173_eat,ha / shawari / tapa,ha,h a,,dixon2004proto,,,,,EAT,53,53
ProtoArawan-173_eat-2,,ProtoArawan,173_eat,ha / shawari / tapa,shawari,tsʰ a w a r i,,dixon2004proto,,,,,EAT,53,53
ProtoArawan-173_eat-3,,ProtoArawan,173_eat,ha / shawari / tapa,tapa,t a p a,,dixon2004proto,,,,,EAT,184,184
