# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
57	Deni	bacuri	boti	boti	b o t i	BACURI	29	29
#
58	Kulina	bad	bisha	bisha	b i s h a	BAD	324	324
59	Deni	bad	hirade	hirade	h i r a d e	BAD	324	324
60	Kulina	bad	tabakhora	tabakhora	t a b a k h o r a	BAD	324	324
#
61	Deni	bamboo	hado	hado	h a d o	BAMBOO	237	237
62	Jamamadi	bamboo	hado	hado	h a d o	BAMBOO	237	237
64	Banawa	bamboo	hado	hado / toto	h a d o	BAMBOO	237	237
65	Kulina	bamboo	hado	hado / totore	h a d o	BAMBOO	237	237
66	Jarawara	bamboo	hato	hado / toto	h a t o	BAMBOO	237	237
67	Banawa	bamboo	toto	hado / toto	t o t o	BAMBOO	237	237
68	Jarawara	bamboo	toto	hado / toto	t o t o	BAMBOO	237	237
69	Kulina	bamboo	totore	hado / totore	t o t o r e	BAMBOO	237	237
#
44603	Jamamadi	banana sp.	satowi	satowi	s a t o w i	BANANA.SP.	162	162
#
70	Banawa	bark (of a tree)	atari	atari	a t a r i	SKIN	208	208
71	Jarawara	bark (of a tree)	atari	atari	a t a r i	SKIN	208	208
72	Jamamadi	bark (of a tree)	atori	atori	a t o r i	SKIN	208	208
73	Deni	bark (of a tree)	etero	etero	e t e r o	SKIN	208	208
74	Kulina	bark (of a tree)	etero	etero	e t e r o	SKIN	208	208
#
44462	Jarawara	bat	masebiri	masebiri	m a s e b i r i	BAT	130	130
44463	Banawa	bat	mesebiri	mesebiri	m e s e b i r i	BAT	130	130
44464	Jamamadi	bat	masi	masi	m a s i	BAT	130	130
#
75	Kulina	bathe	kona	kona	k o n a	BATHE	276	276
77	Deni	bathe	konaha	konaha	k o n a h a	BATHE	276	276
#
1331	Kulina	be	ha	ha	h a	BE	54	54
1332	Deni	be	ha	ha	h a	BE	54	54
1333	Jarawara	be	ha	ha	h a	BE	54	54
1334	Banawa	be	ha	ha	h a	BE	54	54
#
78	Jarawara	be angry	hama	hama	h a m a	BE.ANGRY	325	325
79	Banawa	be angry	hama	hama	h a m a	BE.ANGRY	325	325
